Date,Open,High,Low,Close,Adj Close,Volume
2018-06-29,5.380000,5.410000,5.330000,5.340000,5.268482,8515100
2018-07-02,5.300000,5.340000,5.270000,5.320000,5.248750,6382800
2018-07-03,5.370000,5.400000,5.360000,5.360000,5.288214,4646200
2018-07-05,5.550000,5.580000,5.530000,5.550000,5.475670,10509000
2018-07-06,5.540000,5.610000,5.530000,5.590000,5.515134,3867200
2018-07-09,5.640000,5.660000,5.630000,5.650000,5.574330,7427200
2018-07-10,5.580000,5.620000,5.550000,5.600000,5.525000,4791400
2018-07-11,5.490000,5.510000,5.410000,5.440000,5.367143,8364600
2018-07-12,5.440000,5.490000,5.430000,5.470000,5.396741,5601400
2018-07-13,5.410000,5.420000,5.370000,5.420000,5.347411,5907200
2018-07-16,5.430000,5.490000,5.430000,5.470000,5.396741,7299600
2018-07-17,5.410000,5.420000,5.310000,5.330000,5.258616,51044100
2018-07-18,5.330000,5.410000,5.330000,5.390000,5.317812,13921300
2018-07-19,5.350000,5.440000,5.330000,5.410000,5.337544,18997900
2018-07-20,5.400000,5.450000,5.370000,5.430000,5.357276,10217400
2018-07-23,5.430000,5.490000,5.420000,5.470000,5.396741,8120100
2018-07-24,5.540000,5.550000,5.510000,5.520000,5.446071,10322900
2018-07-25,5.550000,5.560000,5.470000,5.530000,5.455938,7196600
2018-07-26,5.540000,5.560000,5.510000,5.550000,5.475670,8878900
2018-07-27,5.570000,5.640000,5.570000,5.600000,5.525000,6781600
2018-07-30,5.550000,5.590000,5.540000,5.580000,5.580000,4204600
2018-07-31,5.650000,5.660000,5.580000,5.590000,5.590000,4867900
2018-08-01,5.570000,5.580000,5.505000,5.530000,5.530000,3238274
